1999 Porsche 911 Carrera Coupe,"65,000 mi · Manual","Oceanside, CA, USA","$27,000
SOLD",Bring a Trailer,Auction,"Aug 29, 2018"
1986 Porsche 911 Carrera Coupe,"113,000 mi · Manual","Bentonville, AR, USA","$40,000
SOLD",Bring a Trailer,Auction,"Aug 29, 2018"
1973.5 Porsche 911T,"78,860 mi","Conifer, CO, USA","$61,000
SOLD",Bring a Trailer,Auction,"Aug 28, 2018"
1966 Porsche 912 Coupe 5-Speed,"75,000 mi · Manual","Oklahoma City, OK, USA","$48,000
SOLD",Bring a Trailer,Auction,"Aug 27, 2018"
1973 Porsche 911 Carrera Rsh 2.7,,"Monterey, CA, USA","$1,380,000
SOLD",RM Sotheby's,Auction,"Aug 25, 2018"
1979 Porsche 911 Turbo,Manual,"Monterey, CA, USA","$151,200
SOLD",RM Sotheby's,Auction,"Aug 25, 2018"
1994 Porsche 911 Speedster,"1,500 mi · Manual · LHD","Monterey, CA, USA","$243,600
SOLD",RM Sotheby's,Auction,"Aug 25, 2018"
2011 Porsche 911 GT2 RS,Manual · LHD,"Monterey, CA, USA","$445,000
SOLD",RM Sotheby's,Auction,"Aug 25, 2018"
2005 Porsche 996 GT3,"9,200 mi","Pebble Beach, CA, USA","$112,750
SOLD",Gooding & Company,Auction,"Aug 25, 2018"
1966 Porsche 911,,"Monterey, CA, USA","$246,400
SOLD",RM Sotheby's,Auction,"Aug 25, 2018"
1990 Porsche RUF 'CTR' Carrera 4,Manual · LHD · Restomod & Custom,"Monterey, CA, USA","$368,000
SOLD",RM Sotheby's,Auction,"Aug 25, 2018"
2016 Porsche 911 R,20 mi · Manual · LHD,"Monterey, CA, USA","$379,000
SOLD",RM Sotheby's,Auction,"Aug 25, 2018"
1966 Porsche 911 Spyder,,"Pebble Beach, CA, USA","$1,430,000
SOLD",Gooding & Company,Auction,"Aug 25, 2018"
1973 Porsche 911 2.4 E Targa,,"Pebble Beach, CA, USA","$148,500
SOLD",Gooding & Company,Auction,"Aug 25, 2018"
1977 Porsche 911 Targa,Manual,"Pebble Beach, CA, USA","$104,500
SOLD",Gooding & Company,Auction,"Aug 25, 2018"
1991 Porsche 964 Turbo 3.3,"24,000 mi · Manual","Pebble Beach, CA, USA","$143,000
SOLD",Gooding & Company,Auction,"Aug 25, 2018"
2016 Porsche 991 GT3 RS,55 mi · Automatic · LHD · Original & Highly Original,"Pebble Beach, CA, USA","$192,500
SOLD",Gooding & Company,Auction,"Aug 25, 2018"
1973 Porsche 911 Carrera RS 2.7 Touring,,"Pebble Beach, CA, USA","$638,000
SOLD",Gooding & Company,Auction,"Aug 25, 2018"
1989 Porsche 911 Carrera Speedster,"1,017 mi · Manual","Pebble Beach, CA, USA","$264,000
SOLD",Gooding & Company,Auction,"Aug 25, 2018"
1993 Porsche 964 Carrera RS 3.8,,"Pebble Beach, CA, USA","$1,001,000
SOLD",Gooding & Company,Auction,"Aug 25, 2018"
1995 Porsche 993 GT2,Manual · LHD,"Pebble Beach, CA, USA","$616,000
SOLD",Gooding & Company,Auction,"Aug 25, 2018"
1998 Porsche 993 Carrera S,"12,600 mi · Manual","Pebble Beach, CA, USA","$126,500
SOLD",Gooding & Company,Auction,"Aug 25, 2018"
1965 Porsche 911,,"Pebble Beach, CA, USA","$385,000
SOLD",Gooding & Company,Auction,"Aug 25, 2018"
2016 Porsche 911 GT3 RS,521 mi · Automatic · LHD,"Monterey, CA, USA","$242,000
SOLD",Mecum,Auction,"Aug 25, 2018"
2018 Porsche 911 GT3,260 mi · Manual · LHD,"Monterey, CA, USA","$214,500
SOLD",Mecum,Auction,"Aug 25, 2018"
